transaction_id,transaction_date,posted_date,account_name,account_type,merchant_name,description,amount,currency,channel,city,state
TX000001,2024-03-01,2024-03-01,Chase Total Checking,checking,CAMPUS VIEW APTS,CAMPUS VIEW APTS RESIDENT PORTAL,-875.0,USD,ACH,Riverside,CA
TX000783,2024-03-02,2024-03-03,Chase Freedom Unlimited,credit_card,STARBUCKS,STARBUCKS STORE 1023,-7.58,USD,Card,Riverside,CA
TX000460,2024-03-03,2024-03-05,Chase Freedom Unlimited,credit_card,TRADER JOE'S,TRADER JOES #182,-90.18,USD,Card,Riverside,CA
TX001013,2024-03-03,2024-03-03,Chase Freedom Unlimited,credit_card,AMC THEATRES,AMC ONLINE TICKETS,-19.9,USD,Card,Riverside,CA
TX000006,2024-03-04,2024-03-06,Chase Freedom Unlimited,credit_card,NETFLIX,NETFLIX.COM 800-585-7265,-15.49,USD,Card,Los Gatos,CA
TX000648,2024-03-04,2024-03-04,Chase Freedom Unlimited,credit_card,DOORDASH,DOORDASH*WINGPLACE,-45.03,USD,Card,San Francisco,CA
TX000779,2024-03-05,2024-03-06,Chase Freedom Unlimited,credit_card,STARBUCKS,STARBUCKS #19456,-5.02,USD,Card,Riverside,CA
TX000393,2024-03-06,2024-03-07,Chase Total Checking,checking,CHASE TRANSFER,ONLINE TRANSFER TO CHASE SAVINGS,-125.0,USD,Transfer,Riverside,CA
TX000394,2024-03-06,2024-03-08,Chase Savings,savings,CHASE TRANSFER,ONLINE TRANSFER FROM CHASE CHECKING,125.0,USD,Transfer,Riverside,CA
TX000007,2024-03-07,2024-03-07,Chase Freedom Unlimited,credit_card,SPOTIFY,SPOTIFY FAMILY PLAN,-10.99,USD,Card,New York,CA
TX000313,2024-03-08,2024-03-08,Chase Total Checking,checking,UCR PAYROLL,UCR CAMPUS EMPLOYMENT DD,978.27,USD,Direct Deposit,Riverside,CA
TX000008,2024-03-09,2024-03-09,Chase Freedom Unlimited,credit_card,DISNEY+,DISNEYPLUS MONTHLY,-13.99,USD,Card,Burbank,CA
TX001034,2024-03-11,2024-03-12,Chase Freedom Unlimited,credit_card,UBER,UBER EATS,-11.09,USD,Card,Los Angeles,CA
TX000265,2024-03-12,2024-03-14,Chase Total Checking,checking,SCE,SCE AUTOPAY,-64.17,USD,Autopay,Rosemead,CA
TX000962,2024-03-12,2024-03-13,Chase Freedom Unlimited,credit_card,UNIQLO,UNIQLO USA ONLINE,-65.84,USD,Card,Torrance,CA
TX000378,2024-03-13,2024-03-14,Chase Total Checking,checking,VENMO,VENMO PAYMENT FROM FRIEND,100.89,USD,Transfer,New York,CA
TX000009,2024-03-14,2024-03-14,Chase Freedom Unlimited,credit_card,ADOBE,ADOBE CREATIVE CLOUD,-19.99,USD,Card,San Jose,CA
